Month-Year,Real GDP Interpolated,UNRATE_Proportion,JTSJOL,Real RSAFS,Real CP Interpolated,Log Transformed Receipts
2015-03-01,18222.25443275429,0.054000000000000006,5210.0,441895.0,1893.168192515368,27.640731289451985
2015-04-01,18259.229325182918,0.054000000000000006,5598.0,442505.69714929175,1891.1274171581788,28.202008115248155
2015-05-01,18253.156401735632,0.055999999999999994,5563.0,444184.6121493158,1867.8272174467093,27.54957777839098
2015-06-01,18247.083478288347,0.053,5248.0,443413.2984595446,1844.5270177352395,27.91178064124584
2015-07-01,18247.225508812597,0.052000000000000005,6056.0,446251.1429795744,1819.2824252029282,27.549792952824294
2015-08-01,18266.01240125145,0.051,5467.0,446277.80168295995,1788.2046542080914,27.51167537295834
2015-09-01,18284.7992936903,0.05,5488.0,445218.4264288542,1757.1268832132546,27.957328279747227
2015-10-01,18306.92217714994,0.05,5773.0,443602.08418688196,1738.7638598747765,27.491114021424984
2015-11-01,18339.053033671946,0.051,5708.0,444890.0636845267,1758.5450795053741,27.498592121833
2015-12-01,18371.183890193955,0.05,5845.0,447215.1179041138,1778.3262991359716,27.903959502046764
2016-01-01,18401.97240563154,0.048,6012.0,444220.95743355836,1797.2217005702705,27.856666939646033
2016-02-01,18428.733897815844,0.049,5770.0,449308.5012303232,1813.4596474156724,27.370495509023005
2016-03-01,18455.495390000153,0.05,6129.0,446481.1026209677,1829.6975942610748,27.606676190872363
2016-04-01,18483.274163505142,0.051,5803.0,446530.90600522194,1840.5224547154344,28.131292501524392
2016-05-01,18514.10478097219,0.048,5777.0,447112.9395008286,1835.1080559966672,27.591955524630983
2016-06-01,18544.935398439236,0.049,5742.0,450603.13766432717,1829.6936572778998,27.906265553008897
2016-07-01,18573.565047940487,0.048,5962.0,450027.25746248453,1830.2374581620509,27.49597941073139
2016-08-01,18595.591793544358,0.049,5677.0,449668.4570454593,1848.6558578549568,27.5867656154186
2016-09-01,18617.618539148225,0.05,5868.0,451451.7464424321,1867.0742575478628,27.93183505615411
2016-10-01,18637.56798538701,0.049,5591.0,451335.6663205662,1889.2720482611558,27.516645208783036
2016-11-01,18651.285533530547,0.047,5971.0,450676.4663961723,1922.80801203561,27.4661384188345
2016-12-01,18665.003081674084,0.047,5964.0,455008.2780120097,1956.3439758100644,27.812555296846373
2017-01-01,18684.39532101746,0.047,5617.0,458180.96997758787,1979.0281886496723,27.920021631433347
2017-02-01,18720.811633960362,0.046,5923.0,457380.84030720557,1969.1571486847424,27.368085961761913
2017-03-01,18757.227946903266,0.044000000000000004,5811.0,456824.46502550313,1959.286108719812,27.552552894238104
2017-04-01,18804.666091101855,0.044000000000000004,6091.0,458036.5544303072,1955.2030461152112,28.154225201242195
2017-05-01,18885.169729067486,0.044000000000000004,5826.0,456112.8542155047,1968.483915591597,27.63859168840989
2017-06-01,18965.67336703312,0.043,6305.0,457667.5863910584,1981.7647850679828,27.907173337667523
2017-07-01,19038.199382254417,0.043,6238.0,457523.4776513554,1974.4401031104705,27.569253752402407
2017-08-01,19086.792529242713,0.044000000000000004,6276.0,456632.7079120494,1905.2987668512649,27.555849991593455
2017-09-01,19135.38567623101,0.043,6320.0,463614.535630085,1836.157430592059,27.889741748230062
2017-10-01,19180.526239411127,0.042,6408.0,463910.9082091912,1792.6198279700993,27.55566777940072
2017-11-01,19215.309051166725,0.042,6271.0,467605.2946733311,1825.893426259878,27.488470031571758
2017-12-01,19250.09186292232,0.040999999999999995,6336.0,469065.6851314542,1859.1670245496566,27.798586984878604
2018-01-01,19287.229222961127,0.04,6621.0,465037.494227655,1889.2598974743337,27.93746381967782
2018-02-01,19331.43022784957,0.040999999999999995,6552.0,466538.89521458425,1909.810594303707,27.291019978144753
2018-03-01,19375.631232738015,0.04,6818.0,466154.17074490036,1930.3612911330802,27.51249606030148
2018-04-01,19419.477831562726,0.04,6877.0,466335.2078232964,1941.306530391233,28.228432372099505
2018-05-01,19462.261212196267,0.038,7016.0,471336.6362563399,1923.4353969357248,27.5309973465177
2018-06-01,19505.0445928298,0.04,7230.0,469302.86580245243,1905.5642634802164,27.790521144473054
2018-07-01,19536.365502273093,0.038,7190.0,471789.49373840634,1891.3145124768744,27.52552038845699
2018-08-01,19533.298998145656,0.038,7208.0,470673.022700993,1887.9289088300313,27.512871566522946
2018-09-01,19530.232494018222,0.037000000000000005,7411.0,467899.32353617623,1884.5433051831883,27.87351376019185
2018-10-01,19544.376409761877,0.038,7304.0,472024.81711581984,1884.4071913789205,27.59736386552973
2018-11-01,19610.1515851188,0.038,7594.0,473904.5002177407,1894.019547102378,27.46511271848375
2018-12-01,19675.926760475726,0.039,7489.0,463959.6966692646,1903.6319028258356,27.772130819440672
2019-01-01,19730.11089945183,0.04,7502.0,467360.68913252634,1910.2644954771472,27.881281953825738
2019-02-01,19749.521929285474,0.038,7066.0,466632.9242101856,1907.9577989120212,27.328940967305474
2019-03-01,19768.932959119124,0.038,7317.0,472313.9306504324,1905.6511023468952,27.563099698179336
2019-04-01,19804.364967136666,0.037000000000000005,7272.0,471118.0547343016,1905.7593157569913,28.254028077970236
2019-05-01,19887.85990970589,0.036000000000000004,7275.0,474113.06749811984,1913.1122590927534,27.572189275349196
2019-06-01,19971.354852275115,0.036000000000000004,7194.0,474994.0121232069,1920.465202428515,27.87305749127444
2019-07-01,20041.71318962529,0.037000000000000005,7042.0,478105.03992932034,1927.668915284392,27.595549235633218
2019-08-01,20072.661711318302,0.036000000000000004,7178.0,480501.2406380353,1934.424936700612,27.53478194265394
2019-09-01,20103.610233011317,0.035,7124.0,476855.0149670475,1941.1809581168322,27.92017181790521
2019-10-01,20099.865479572152,0.036000000000000004,7289.0,476985.261495985,1937.7257042268438,27.560706049188045
2019-11-01,19992.040900736436,0.036000000000000004,6888.0,478688.7071843771,1903.636624418229,27.51824756367964
2019-12-01,19884.216321900727,0.036000000000000004,6699.0,478972.06474113604,1869.5475446096145,27.823878017231454
2020-01-01,19683.65876739309,0.036000000000000004,7170.0,478877.9948552756,1834.0303698997263,27.937652206942357
2020-02-01,19204.902285869688,0.035,6974.0,478221.7310199579,1794.2289104860183,27.400984541141714
2020-03-01,18726.145804346284,0.044000000000000004,5924.0,436645.6392639938,1754.4274510723103,27.58700904628922
2020-04-01,18486.66762014634,0.14800000000000002,4637.0,376189.19013298146,1775.202822556179,27.691592132043418
2020-05-01,18965.024327916748,0.132,5593.0,447309.21691004036,1977.7086867327776,27.39449435600783
2020-06-01,19443.38103568716,0.11,6156.0,483853.4525532676,2180.2145509093766,27.650799979143024
2020-07-01,19819.506942309254,0.102,6491.0,489145.570353859,2318.9502575309434,28.23204250924207
2020-08-01,19888.940445486398,0.084,6369.0,491686.874332025,2266.375491487416,27.527058782132897
2020-09-01,19958.373948663542,0.078,6505.0,500300.78305526805,2213.8007254438885,27.940194945655644
2020-10-01,20040.083969152918,0.068,6838.0,498041.3891926578,2196.662879971753,27.546613669430517
2020-11-01,20158.623541579007,0.067,6857.0,492421.43351156596,2285.8357962137907,27.51718074610191
2020-12-01,20277.16311400509,0.067,6758.0,494729.5540161448,2375.0087124558295,27.859286148524795
2021-01-01,20391.62243687967,0.064,7185.0,512828.3308573127,2459.2841759901553,27.940726774929857
2021-02-01,20493.84101109975,0.062,7818.0,497308.522416089,2528.8672814013426,27.56944871012753
2021-03-01,20596.059585319825,0.061,8519.0,549029.2387905326,2598.4503868125303,27.644240225980283
2021-04-01,20679.512571444815,0.061,9282.0,550861.6058361324,2643.2299308381034,28.07063721657085
2021-05-01,20706.668793284516,0.057999999999999996,9905.0,541077.6413213535,2613.598790706831,28.057770629563098
2021-06-01,20733.825015124225,0.059000000000000004,10317.0,542394.1455088228,2583.9676505755597,27.967719390291887
2021-07-01,20787.238634299887,0.054000000000000006,10991.0,531519.0352434245,2553.617368362521,27.59093211318347
2021-08-01,20919.42444548341,0.051,10884.0,533642.1431655969,2521.1096599041807,27.621025900217717
2021-09-01,21051.61025666694,0.047,10875.0,534636.3693932169,2488.6019514458403,28.051155988086464
2021-10-01,21144.107064096905,0.045,11365.0,538274.9535585347,2460.691182788699,27.622598615449082
2021-11-01,21117.5368602662,0.040999999999999995,11178.0,539813.964182081,2446.571233535151,27.645036699508346
2021-12-01,21090.966656435485,0.039,11511.0,531531.721460927,2432.4512842816034,28.06413147924294
2022-01-01,21072.479000177707,0.04,11243.0,538179.7060235845,2430.0667986968156,28.044806453094733
2022-02-01,21078.23898663873,0.038,11700.0,539503.3281388932,2462.888704118308,27.632682647642355
2022-03-01,21083.99897309975,0.036000000000000004,12182.0,545038.5563426568,2495.710609539801,27.7133546117931
2022-04-01,21082.38488588279,0.037000000000000005,11773.0,550171.2890803562,2509.3212623649315,28.545105715682475
2022-05-01,21058.648577631888,0.036000000000000004,11473.0,543485.3052076647,2465.2981574009755,27.86596949559431
2022-06-01,21034.912269380984,0.036000000000000004,11204.0,540513.9566367002,2421.2750524370194,28.017481140660315
2022-07-01,21030.658857069768,0.035,11537.0,536840.8601077372,2376.3723244738426,27.54112810684868
2022-08-01,21084.85413257761,0.036000000000000004,10119.0,539648.3489053517,2328.830727513004,27.66508867710595
2022-09-01,21139.049408085448,0.035,10784.0,536157.5769535771,2281.2891305521653,28.022322075834172
2022-10-01,21193.20429256008,0.036000000000000004,10526.0,540101.2077633005,2250.4075318280748,27.648587611079744
2022-11-01,21247.238003935097,0.036000000000000004,10702.0,532301.8932790442,2269.505927814228,27.498637975639934
2022-12-01,21301.27171531011,0.035,11000.0,526529.1299680066,2288.604323800381,27.966971959200162
2023-01-01,21344.875337181635,0.034,10425.0,545107.4197818588,2304.995189914919,27.969811447349112
2023-02-01,21357.188690542665,0.036000000000000004,9849.0,537237.5271849264,2313.2634664146135,27.5343459969135
2023-03-01,21369.502043903696,0.035,9623.0,531057.831777931,2321.531742914308,27.682160037259447
2023-04-01,21402.575794060976,0.034,9904.0,532406.8720399167,2334.8370529857393,28.257851176611556
2023-05-01,21497.930734606995,0.037000000000000005,9311.0,534135.8161686418,2363.25346377238,27.66811907436764
2023-06-01,21593.285675153013,0.036000000000000004,9125.0,534674.4228181959,2391.669874559021,27.967804710899077
2023-07-01,21668.81418546315,0.035,8805.0,534995.8001759524,2419.0554426921,27.54402873566709
2023-08-01,21684.863405065647,0.038,9358.0,536585.3491101842,2443.3484828644946,27.5747944120899
2023-09-01,21700.912624668144,0.038,9307.0,539171.3095988128,2467.6415230368893,27.957256689015956
2023-10-01,21721.134880454287,0.038,8685.0,536639.7379126006,2489.201660747001,27.809634558701244
2023-11-01,21753.876244791376,0.037000000000000005,8931.0,534815.5516453264,2502.563091070265,27.543791254143294
2023-12-01,21786.617609128472,0.037000000000000005,8889.0,537508.7868058119,2515.924521393529,27.903479943260376
2024-01-01,21815.38699154066,0.037000000000000005,8748.0,530061.9043737991,2529.7360835634836,28.003930468633744
2024-02-01,21832.24042817815,0.039,8813.0,531437.2152230804,2544.8980412735104,27.54123259621311
2024-03-01,21849.093864815637,0.038,8355.0,531868.4248406623,2560.0599989835373,27.703248296160442
2024-04-01,21882.299977715982,0.039,7919.0,529412.9813701481,2570.5785259514,28.402175566663146
2024-05-01,21964.564119404888,0.04,8230.0,530609.0528661505,2567.166760692772,27.682915765586785
2024-06-01,22046.828261093797,0.040999999999999995,7910.0,529430.6757089146,2563.754995434144,28.017440665210465
2024-07-01,22108.52636736048,0.043,7711.0,535009.8412803715,2561.196171490173,27.675769940824697
2024-08-01,22108.52636736048,0.042,7861.0,533399.3177406159,2561.196171490173,27.627254856004814
2024-09-01,22108.52636736048,0.040999999999999995,7372.0,537203.3540990066,2561.196171490173,28.049000408862284
2024-10-01,22108.52636736048,0.040999999999999995,7744.0,538355.0811718983,2561.196171490173,27.645484133773895
2024-11-01,22108.52636736048,0.042,7744.0,540354.5475586287,2561.196171490173,27.60718878761049
